Word; Frequency; Percentage frequency:
head;8;10,390%
your;7;9,091%
in;7;9,091%
zombie;6;7,792%
their;4;5,195%
and;4;5,195%
s;3;3,896%
are;3;3,896%
they;2;2,597%
not;2;2,597%
it;2;2,597%
bombs;2;2,597%
you;1;1,299%
with;1;1,299%
who;1;1,299%
what;1;1,299%
we;1;1,299%
violence;1;1,299%
the;1;1,299%
tanks;1;1,299%
taken;1;1,299%
such;1;1,299%
slowly;1;1,299%
silence;1;1,299%
see;1;1,299%
my;1;1,299%
mistaken;1;1,299%
me;1;1,299%
lowly;1;1,299%
is;1;1,299%
hangs;1;1,299%
guns;1;1,299%
fighting;1;1,299%
family;1;1,299%
cryin;1;1,299%
child;1;1,299%
caused;1;1,299%
but;1;1,299%
another;1;1,299%
